,seller,ovrall_rating,rating,date,desc,comment
8718,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 13, 2019",User bought Playstation Plus CARD PSN NORTH AMERICA 30 Days,
8719,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 13, 2019",User bought PlayStation Network Gift Card 60 USD PSN UNITED ARAB EMIRATES,
8720,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 12, 2019",User bought PlayStation Network Gift Card 50 EUR PSN FRANCE,code not working
8721,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 12, 2019",User bought PlayStation Network Gift Card 25 USD PSN UNITED STATES,super fast
8722,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 12, 2019",User bought Google Play Gift Card 25 USD NORTH AMERICA,kay dont  work
8723,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 12, 2019",User bought PlayStation Network Gift Card 25 USD PSN UNITED STATES,Works
8724,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 12, 2019",User bought Nintendo eShop Card 5 USD Nintendo NORTH AMERICA,worked
8725,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 11, 2019",User bought Google Play Gift Card 25 USD NORTH AMERICA,"Hi, If the seller does not reply within 5 days, I will recover my money because it will not be refunded"
8726,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 11, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,thank you 
8727,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 11, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,
8728,Noob_noob,98%Positive feedback|1860,#icon-x,"Jun 10, 2019",User bought Amazon Gift Card 50 CAD Amazon CANADA,The seller is trying to say I'm cheating by posting fake pictures.
8729,Noob_noob,98%Positive feedback|1860,#icon-x,"Jun 07, 2019",User bought PlayStation Network Gift Card 500 ZAR PSN SOUTH AFRICA,invalid key
8730,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 07, 2019",User bought Spotify Premium Subscription Card 1 Month TURKEY Spotify,
8731,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 07, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,Thank uu bro it work you are the best seller
8732,Noob_noob,98%Positive feedback|1860,#icon-x,"Jun 07, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,The key is already used by someone else and i just bought it and the seller is not responding to my message this is a total **** i can't trust to buy from this seller anymore
8733,Noob_noob,98%Positive feedback|1860,#icon-positive,"Jun 07, 2019",User bought Google Play Gift Card WESTERN ASIA 100 TL,
8734,Noob_noob,98%Positive feedback|1860,#icon-negative,"Jun 06, 2019",User bought Google Play Gift Card 10 USD NORTH AMERICA,Fake cards. My Card doesnt work and the seller no reply me.
